"","X1","X2","X3","technology"
"714","Lenka, NK, Sudhishri, S, Dass, A, Choudhury, PR, Lenka, S, Patnaik, US (2013) Soil carbon sequestration as affected by slope aspect under restoration treatments of a degraded alfisol in the Indian sub-tropics","2013","http://dx.doi.org/10.1016/j.geoderma.2013.04.009","Soil Carbon Sequestration"
"716","Lai, LM, Li, YF, Tian, Y, Jiang, LH, Zhao, XC, Zhu, LH, Chen, X, Gao, Y, Wang, SM, Zheng, YR, Rimmington, GM (2013) Effects of Added Organic Matter and Water on Soil Carbon Sequestration in an Arid Region","2013","http://dx.doi.org/10.1371/journal.pone.0070224","Soil Carbon Sequestration"
"717","Noponen, MRA, Healey, JR, Soto, G, Haggar, JP (2013) Sink or source-The potential of coffee agroforestry systems to sequester atmospheric CO2 into soil organic carbon","2013","http://dx.doi.org/10.1016/j.agee.2013.04.012","Soil Carbon Sequestration"
"718","Simansky, V (2013) Soil organic matter in water-stable aggregates under different soil management practices in a productive vineyard","2013","http://dx.doi.org/10.1080/03650340.2012.708103","Soil Carbon Sequestration"
"719","Gollany, HT, Fortuna, AM, Samuel, MK, Young, FL, Pan, WL, Pecharko, M (2013) Soil Organic Carbon Accretion vs. Sequestration Using Physicochemical Fractionation and CQESTR Simulation","2013","http://dx.doi.org/10.2136/sssaj2012.0303","Soil Carbon Sequestration"
"720","Lal, R (2013) Soil carbon management and climate change","2013","http://dx.doi.org/10.4155/CMT.13.31","Soil Carbon Sequestration"
"721","Ericsson, N, Porso, C, Ahlgren, S, Nordberg, A, Sundberg, C, Hansson, PA (2013) Time-dependent climate impact of a bioenergy system - methodology development and application to Swedish conditions","2013","http://dx.doi.org/10.1111/gcbb.12031","Soil Carbon Sequestration"
"722","DeLonge, MS, Ryals, R, Silver, WL (2013) A Lifecycle Model to Evaluate Carbon Sequestration Potential and Greenhouse Gas Dynamics of Managed Grasslands","2013","http://dx.doi.org/10.1007/s10021-013-9660-5","Soil Carbon Sequestration"
"723","Deng, L, Wang, KB, Chen, ML, Shangguan, ZP, Sweeney, S (2013) Soil organic carbon storage capacity positively related to forest succession on the Loess Plateau, China","2013","http://dx.doi.org/10.1016/j.catena.2013.06.016","Soil Carbon Sequestration"
"724","Tang, Z, Nan, ZB (2013) The potential of cropland soil carbon sequestration in the Loess Plateau, China","2013","http://dx.doi.org/10.1007/s11027-012-9397-z","Soil Carbon Sequestration"
"725","Qin, ZC, Huang, Y, Zhuang, QL (2013) Soil organic carbon sequestration potential of cropland in China","2013","http://dx.doi.org/10.1002/gbc.20068","Soil Carbon Sequestration"
"726","Liu, ZF, Lin, YB, Lu, HF, Ding, MM, Tan, YW, Xu, SJ, Fu, SL (2013) Maintenance of a Living Understory Enhances Soil Carbon Sequestration in Subtropical Orchards","2013","http://dx.doi.org/10.1371/journal.pone.0076950","Soil Carbon Sequestration"
"727","Yu, YQ, Huang, Y, Zhang, W (2013) Projected changes in soil organic carbon stocks of China's croplands under different agricultural managements, 2011-2050","2013","http://dx.doi.org/10.1016/j.agee.2013.06.008","Soil Carbon Sequestration"
"728","Pandey, D, Agrawal, M, Bohra, JS (2013) Impact of four tillage permutations in rice-wheat system on GHG performance of wheat cultivation through carbon footprinting","2013","http://dx.doi.org/10.1016/j.ecoleng.2013.07.020","Soil Carbon Sequestration"
"729","Lugato, E, Panagos, P, Bampa, F, Jones, A, Montanarella, L (2014) A new baseline of organic carbon stock in European agricultural soils using a modelling approach","2014","http://dx.doi.org/10.1111/gcb.12292","Soil Carbon Sequestration"
"730","Yang, XM, Drury, CF, Wander, MM (2013) A wide view of no-tillage practices and soil organic carbon sequestration","2013","http://dx.doi.org/10.1080/09064710.2013.816363","Soil Carbon Sequestration"
"731","Loum, M, Viaud, V, Fouad, Y, Nicolas, H, Walter, C (2014) Retrospective and prospective dynamics of soil carbon sequestration in Sahelian agrosystems in Senegal","2014","http://dx.doi.org/10.1016/j.jaridenv.2013.10.007","Soil Carbon Sequestration"
"732","Badgery, WB, Simmons, AT, Murphy, BM, Rawson, A, Andersson, KO, Lonergan, VE, van de Ven, R (2013) Relationship between environmental and land-use variables on soil carbon levels at the regional scale in central New South Wales, Australia","2013","http://dx.doi.org/10.1071/SR12358","Soil Carbon Sequestration"
"733","Liu, DL, Anwar, MR, O'Leary, G, Conyers, MK (2014) Managing wheat stubble as an effective approach to sequester soil carbon in a semi-arid environment: Spatial modelling","2014","http://dx.doi.org/10.1016/j.geoderma.2013.10.003","Soil Carbon Sequestration"
"734","Wiesmeier, M, Hubner, R, Sporlein, P, Geuss, U, Hangen, E, Reischl, A, von Lutzow, M, Schilling, B, Kogel-Knabner, I (2014) Carbon sequestration potential of soils in southeast Germany derived from stable soil organic carbon saturation","2014","http://dx.doi.org/10.1111/gcb.12384","Soil Carbon Sequestration"
"736","ten Hoeve, M, Hutchings, NJ, Peters, GM, Svanstrom, M, Jensen, LS, Bruun, S (2014) Life cycle assessment of pig slurry treatment technologies for nutrient redistribution in Denmark","2014","http://dx.doi.org/10.1016/j.jenvman.2013.10.023","Soil Carbon Sequestration"
"738","Zhang, HL, Lal, R, Zhao, X, Xue, JF, Chen, F (2014) Opportunities and Challenges of Soil Carbon Sequestration by Conservation Agriculture in China","2014","http://dx.doi.org/10.1016/B978-0-12-800138-7.00001-2","Soil Carbon Sequestration"
"739","Tan, BC, Fan, JB, He, YQ, Luo, SM, Peng, XH (2014) Possible effect of soil organic carbon on its own turnover: A negative feedback","2014","http://dx.doi.org/10.1016/j.soilbio.2013.11.017","Soil Carbon Sequestration"
"740","Xue, XB, Pang, YL, Landis, AE (2014) Evaluating agricultural management practices to improve the environmental footprint of corn-derived ethanol","2014","http://dx.doi.org/10.1016/j.renene.2013.12.026","Soil Carbon Sequestration"
"741","Lorenz, K, Lal, R (2014) Soil organic carbon sequestration in agroforestry systems. A review","2014","http://dx.doi.org/10.1007/s13593-014-0212-y","Soil Carbon Sequestration"
"742","Jiang, GY, Xu, MG, He, XH, Zhang, WJ, Huang, SM, Yang, XY, Liu, H, Peng, C, Shirato, Y, Iizumi, T, Wang, JZ, Murphy, DV (2014) Soil organic carbon sequestration in upland soils of northern China under variable fertilizer management and climate change scenarios","2014","http://dx.doi.org/10.1002/2013GB004746","Soil Carbon Sequestration"
"743","Yang, HT, Li, XR, Wang, ZR, Jia, RL, Liu, LC, Chen, YL, Wei, YP, Gao, YH, Li, G (2014) Carbon sequestration capacity of shifting sand dune after establishing new vegetation in the Tengger Desert, northern China","2014","http://dx.doi.org/10.1016/j.scitotenv.2014.01.063","Soil Carbon Sequestration"
"744","Dang, YA, Ren, W, Tao, B, Chen, GS, Lu, CQ, Yang, J, Pan, SF, Wang, GD, Li, SQ, Tian, HQ (2014) Climate and Land Use Controls on Soil Organic Carbon in the Loess Plateau Region of China","2014","http://dx.doi.org/10.1371/journal.pone.0095548","Soil Carbon Sequestration"
"745","Mahmoodabadi, M, Heydarpour, E (2014) Sequestration of organic carbon influenced by the application of straw residue and farmyard manure in two different soils","2014","http://dx.doi.org/10.2478/intag-2014-0005","Soil Carbon Sequestration"
"746","Hansen, VD, Nestlerode, JA (2014) Carbon sequestration in wetland soils of the northern Gulf of Mexico coastal region","2014","http://dx.doi.org/10.1007/s11273-013-9330-6","Soil Carbon Sequestration"
"747","Gao, Y, He, NP, Yu, GR, Chen, WL, Wang, QF (2014) Long-term effects of different land use types on C, N, and P stoichiometry and storage in subtropical ecosystems: A case study in China","2014","http://dx.doi.org/10.1016/j.ecoleng.2014.03.013","Soil Carbon Sequestration"
"748","Gelaw, AM, Singh, BR, Lal, R (2014) Soil organic carbon and total nitrogen stocks under different land uses in a semi-arid watershed in Tigray, Northern Ethiopia","2014","http://dx.doi.org/10.1016/j.agee.2014.02.035","Soil Carbon Sequestration"
"749","Jin, Z, Dong, YS, Wang, YQ, Wei, XR, Wang, YF, Cui, BL, Zhou, WJ (2014) Natural vegetation restoration is more beneficial to soil surface organic and inorganic carbon sequestration than tree plantation on the Loess Plateau of China","2014","http://dx.doi.org/10.1016/j.scitotenv.2014.03.105","Soil Carbon Sequestration"
"750","Srinivasarao, C, Lal, R, Kundu, S, Babu, MBBP, Venkateswarlu, B, Singh, AK (2014) Soil carbon sequestration in rainfed production systems in the semiarid tropics of India","2014","http://dx.doi.org/10.1016/j.scitotenv.2013.10.006","Soil Carbon Sequestration"
"751","Poeplau, C, Don, A (2014) Soil carbon changes under Miscanthus driven by C-4 accumulation and C-3 decompostion - toward a default sequestration function","2014","http://dx.doi.org/10.1111/gcbb.12043","Soil Carbon Sequestration"
"752","Qin, YB, Xin, ZB, Yu, XX, Xiao, YL (2014) Influence of Vegetation Restoration on Topsoil Organic Carbon in a Small Catchment of the Loess Hilly Region, China","2014","http://dx.doi.org/10.1371/journal.pone.0094489","Soil Carbon Sequestration"
"753","Sperow, M (2014) An enhanced method for using the IPCC approach to estimate soil organic carbon storage potential on US agricultural soils","2014","http://dx.doi.org/10.1016/j.agee.2014.04.031","Soil Carbon Sequestration"
"758","Gougoulias, C, Clark, JM, Shaw, LJ (2014) The role of soil microbes in the global carbon cycle: tracking the below-ground microbial processing of plant-derived carbon for manipulating carbon dynamics in agricultural systems","2014","http://dx.doi.org/10.1002/jsfa.6577","Soil Carbon Sequestration"
"759","Manusch, C, Bugmann, H, Wolf, A (2014) The impact of climate change and its uncertainty on carbon storage in Switzerland","2014","http://dx.doi.org/10.1007/s10113-014-0586-z","Soil Carbon Sequestration"
"760","Sommer, R, Bossio, D (2014) Dynamics and climate change mitigation potential of soil organic carbon sequestration","2014","http://dx.doi.org/10.1016/j.jenvman.2014.05.017","Soil Carbon Sequestration"
"761","Chomel, M, DesRochers, A, Baldy, V, Larcheveque, M, Gauquelin, T (2014) Non-additive effects of mixing hybrid poplar and white spruce on aboveground and soil carbon storage in boreal plantations","2014","http://dx.doi.org/10.1016/j.foreco.2014.05.048","Soil Carbon Sequestration"
"762","Powlson, DS, Stirling, CM, Jat, ML, Gerard, BG, Palm, CA, Sanchez, PA, Cassman, KG (2014) Limited potential of no-till agriculture for climate change mitigation","2014","http://dx.doi.org/10.1038/NCLIMATE2292","Soil Carbon Sequestration"
"763","Yagasaki, Y, Shirato, Y (2014) Assessment on the rates and potentials of soil organic carbon sequestration in agricultural lands in Japan using a process-based model and spatially explicit land-use change inventories - Part 1: Historical trend and validation based on nation-wide soil monitoring","2014","http://dx.doi.org/10.5194/bg-11-4429-2014","Soil Carbon Sequestration"
"764","Yagasaki, Y, Shirato, Y (2014) Assessment on the rates and potentials of soil organic carbon sequestration in agricultural lands in Japan using a process-based model and spatially explicit land-use change inventories - Part 2: Future potentials","2014","http://dx.doi.org/10.5194/bg-11-4443-2014","Soil Carbon Sequestration"
"765","Shahidi, BMR, Dyck, M, Malhi, SS (2014) Carbon dioxide emissions from tillage of two long-term no-till Canadian prairie soils","2014","http://dx.doi.org/10.1016/j.still.2014.07.008","Soil Carbon Sequestration"
"767","Mi, J, Liu, W, Yang, WH, Yan, J, Li, JQ, Sang, T (2014) Carbon sequestration by Miscanthus energy crops plantations in a broad range semi-arid marginal land in China","2014","http://dx.doi.org/10.1016/j.scitotenv.2014.07.047","Soil Carbon Sequestration"
"768","Ashworth, AJ, Allen, FL, Wight, JP, Saxton, AM, Tyler, DD, Sams, CE (2014) Soil Organic Carbon Sequestration Rates under Crop Sequence Diversity, Bio-Covers, and No-Tillage","2014","http://dx.doi.org/10.2136/sssaj2013.09.0422","Soil Carbon Sequestration"
"769","Lugato, E, Bampa, F, Panagos, P, Montanarella, L, Jones, A (2014) Potential carbon sequestration of European arable soils estimated by modelling a comprehensive set of management practices","2014","http://dx.doi.org/10.1111/gcb.12551","Soil Carbon Sequestration"
"770","Olsson, A, Campana, PE, Lind, M, Yan, JY (2014) Potential for carbon sequestration and mitigation of climate change by irrigation of grasslands","2014","http://dx.doi.org/10.1016/j.apenergy.2014.08.025","Soil Carbon Sequestration"
"771","Shi, SW, Han, PF (2014) Estimating the soil carbon sequestration potential of China's Grain for Green Project","2014","http://dx.doi.org/10.1002/2014GB004924","Soil Carbon Sequestration"
"772","Ryder, E, de Eyto, E, Dillane, M, Poole, R, Jennings, E (2014) Identifying the role of environmental drivers in organic carbon export from a forested peat catchment","2014","http://dx.doi.org/10.1016/j.scitotenv.2014.04.091","Soil Carbon Sequestration"
"773","Grave, RA, Nicoloso, RD, Cassol, PC, Aita, C, Correa, JC, Dalla Costa, M, Fritz, DD (2015) Short-term carbon dioxide emission under contrasting soil disturbance levels and organic amendments","2015","http://dx.doi.org/10.1016/j.still.2014.10.010","Soil Carbon Sequestration"
"774","DelVecchia, AG, Bruno, JF, Benninger, L, Alperin, M, Banerjee, O, Morales, JD (2014) Organic carbon inventories in natural and restored Ecuadorian mangrove forests","2014","http://dx.doi.org/10.7717/peerj.388","Soil Carbon Sequestration"
"775","Makipaa, R, Linkosalo, T, Komarov, A, Makela, A (2015) Mitigation of climate change with biomass harvesting in Norway spruce stands: are harvesting practices carbon neutral?","2015","http://dx.doi.org/10.1139/cjfr-2014-0120","Soil Carbon Sequestration"
"776","Yagioka, A, Komatsuzaki, M, Kaneko, N, Ueno, H (2015) Effect of no-tillage with weed cover mulching versus conventional tillage on global warming potential and nitrate leaching","2015","http://dx.doi.org/10.1016/j.agee.2014.09.011","Soil Carbon Sequestration"
"777","Li, YQ, Zhao, XY, Zhang, FX, Awada, T, Wang, SK, Zhao, HL, Zhang, TH, Li, YL (2015) Accumulation of soil organic carbon during natural restoration of desertified grassland in China's Horqin Sandy Land","2015","http://dx.doi.org/10.1007/s40333-014-0045-1","Soil Carbon Sequestration"
"778","Gu, CH, Crane, J, Hornberger, G, Carrico, A (2015) The effects of household management practices on the global warming potential of urban lawns","2015","http://dx.doi.org/10.1016/j.jenvman.2015.01.008","Soil Carbon Sequestration"
"779","Lu, N, Akujarvi, A, Wu, X, Liski, J, Wen, ZM, Holmberg, M, Feng, XM, Zeng, Y, Fu, BJ (2015) Changes in soil carbon stock predicted by a process-based soil carbon model (Yasso07) in the Yanhe watershed of the Loess Plateau","2015","http://dx.doi.org/10.1007/s10980-014-0132-x","Soil Carbon Sequestration"
"780","Islam, M, Dey, A, Rahman, M (2015) Effect of Tree Diversity on Soil Organic Carbon Content in the Homegarden Agroforestry System of North-Eastern Bangladesh","2015","http://dx.doi.org/10.1007/s11842-014-9275-5","Soil Carbon Sequestration"
"782","Aguilera, E, Guzman, G, Alonso, A (2015) Greenhouse gas emissions from conventional and organic cropping systems in Spain. II. Fruit tree orchards","2015","http://dx.doi.org/10.1007/s13593-014-0265-y","Soil Carbon Sequestration"
"783","Holmes, A, Muller, K, Clothier, B, Deurer, M (2015) Carbon Sequestration in Kiwifruit Orchard Soils at Depth to Mitigate Carbon Emissions","2015","http://dx.doi.org/10.1080/00103624.2014.988583","Soil Carbon Sequestration"
"784","Lassaletta, L, Aguilera, E (2015) Soil carbon sequestration is a climate stabilization wedge: Comments on Sommer and Bossio (2014)","2015","http://dx.doi.org/10.1016/j.jenvman.2015.01.038","Soil Carbon Sequestration"
"785","Drake, JA, Carrucan, A, Jackson, WR, Cavagnaro, TR, Patti, AF (2015) Biochar application during reforestation alters species present and soil chemistry","2015","http://dx.doi.org/10.1016/j.scitotenv.2015.02.012","Soil Carbon Sequestration"
"786","Wang, WJ, Dalal, RC (2015) Nitrogen management is the key for low-emission wheat production in Australia: A life cycle perspective","2015","http://dx.doi.org/10.1016/j.eja.2015.02.007","Soil Carbon Sequestration"
